#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","ab736","SAMN04621185","PRJNA317553","GCA_002116925.1","Complete",3.99043,39.1892,"chromosome:NZ_CP015121.1/CP015121.1; plasmid unnamed:NZ_CP015122.1/CP015122.1",,2,3683,"2017-05-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/116/925/GCA_002116925.1_ASM211692v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/925/GCF_002116925.1_ASM211692v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 19606","SAMN12389466","PRJNA557095","GCA_009035845.1","Complete",3.99914,39.1782,"chromosome:NZ_CP045110.1/CP045110.1; plasmid p1ATCC19606:NZ_CP045108.1/CP045108.1; plasmid p2ATCC19606:NZ_CP045109.1/CP045109.1",,3,3680,"2019-10-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/035/845/GCA_009035845.1_ASM903584v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/035/845/GCF_009035845.1_ASM903584v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 19606","SAMN15507635","PRJNA645521","GCA_014672755.1","Complete",3.98085,39.2,"chromosome:NZ_CP059040.1/CP059040.1",,1,3657,"2020-09-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/672/755/GCA_014672755.1_ASM1467275v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/672/755/GCF_014672755.1_ASM1467275v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 19606","SAMN13045090","PRJNA577968","GCA_009759685.1","Complete",3.99039,39.1892,"chromosome:NZ_CP046654.1/CP046654.1; plasmid pMAC:NZ_CP046655.1/CP046655.1",,2,3674,"2019-12-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/759/685/GCA_009759685.1_ASM975968v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/759/685/GCF_009759685.1_ASM975968v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AC1633","SAMN15574350","PRJNA647049","GCA_014874575.1","Complete",4.56658,38.8613,"chromosome:NZ_CP059300.1/CP059300.1; plasmid pAC1633-1:NZ_CP059301.1/CP059301.1; plasmid pAC1633-2:NZ_CP059303.1/CP059303.1; plasmid pAC1633-3:NZ_CP059304.1/CP059304.1; plasmid pAC1633-4:NZ_CP059302.1/CP059302.1",,5,4224,"2020-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/874/575/GCA_014874575.1_ASM1487457v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/874/575/GCF_014874575.1_ASM1487457v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AB030","SAMN02940899","PRJNA256157","GCA_000746645.1","Complete",4.33579,39,"chromosome:NZ_CP009257.1/CP009257.1",,1,4054,"2014-08-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/645/GCA_000746645.1_ASM74664v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/645/GCF_000746645.1_ASM74664v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AF-401","SAMN06077191","PRJNA271775","GCA_001896005.1","Complete",4.26763,39.0881,"chromosome:NZ_CP018254.1/CP018254.1; plasmid pAF-401:NZ_CP018255.1/CP018255.1",,2,3960,"2016-12-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/896/005/GCA_001896005.1_ASM189600v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/896/005/GCF_001896005.1_ASM189600v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0101","SAMN04014942","PRJNA292904","GCA_003010675.1","Complete",4.24992,39.0856,"chromosome:NZ_CP027611.1/CP027611.1; plasmid unnamed:NZ_CP027610.1/CP027610.1",,2,3962,"2018-03-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/010/675/GCA_003010675.1_ASM301067v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/010/675/GCF_003010675.1_ASM301067v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","VB82","SAMN14409516","PRJNA613562","GCA_012934905.1","Complete",4.43372,39.1069,"chromosome:NZ_CP050385.1/CP050385.1; plasmid pVB82_1:NZ_CP050386.1/CP050386.1; plasmid pVB82_2:NZ_CP050387.1/CP050387.1",,3,4130,"2020-04-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/934/905/GCA_012934905.1_ASM1293490v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/934/905/GCF_012934905.1_ASM1293490v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","MRSN15313","SAMN10411605","PRJNA505170","GCA_003812485.1","Complete",4.25082,39.0718,"chromosome:NZ_CP033869.1/CP033869.1; plasmid p597A-14.8:NZ_CP033871.1/CP033871.1; plasmid p597A-6.7:NZ_CP033870.1/CP033870.1; plasmid pAb-MCR4.3:NZ_CP033872.1/CP033872.1",,4,3952,"2018-11-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/485/GCA_003812485.1_ASM381248v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/485/GCF_003812485.1_ASM381248v1"
