scaffold	begin	end	transposable	taxonomy	vog
NZ_CP043328.1	674639	695611	False	Myoviridae	VOG8347, VOG2215, VOG0585, VOG0198, VOG0977, VOG0573, VOG4550, VOG4691, VOG0574, VOG6373, VOG2073, VOG0356, VOG0577, VOG8340, VOG4130, VOG4736, VOG0569, VOG0582, VOG3721, VOG6174, VOG6173
NZ_CP043328.1	1005537	1044301	False	Siphoviridae	VOG2174, VOG0980, VOG4780, VOG1419, VOG2173, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG9868, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG0438, VOG3178, VOG8529, VOG4807, VOG0572, VOG4652, VOG1356, VOG4544, VOG4005, VOG4004, VOG4003, VOG4002, VOG8528, VOG4795, VOG10848, VOG4001, VOG9667, VOG3556, VOG3999, VOG10847, VOG3998, VOG10952, VOG3995, VOG3993, VOG4892, VOG8527, VOG8526, VOG8525, VOG3992, VOG4791, VOG6855, VOG2153
NZ_CP043328.1	1252400	1296986	True	Myoviridae / Siphoviridae	VOG0650, VOG4658, VOG3617, VOG7624, VOG8347, VOG2186, VOG0020, VOG10933, VOG6310, VOG2186, VOG0585, VOG6223, VOG2388, VOG2125, VOG7152, VOG10525, VOG0051, VOG1933, VOG0833, VOG4573, VOG3434, VOG0976, VOG2167, VOG0348, VOG10071, VOG3721, VOG6174, VOG6173, VOG4694, VOG3448, VOG3391, VOG0248, VOG6396, VOG0275, VOG0275, VOG0275
NZ_CP043328.1	1735875	1772913	False	Siphoviridae	VOG2215, VOG2786, VOG6171, VOG2142, VOG2788, VOG5454, VOG8348, VOG7465, VOG2147, VOG4892, VOG2149, VOG7153, VOG7153, VOG6086, VOG6306, VOG2152, VOG2153, VOG2154, VOG5412, VOG4751, VOG9452, VOG6856, VOG4576, VOG5023, VOG1356, VOG4652, VOG0572, VOG5003, VOG2163, VOG6012, VOG2790, VOG6404, VOG2164, VOG2165, VOG2166, VOG5492, VOG2167, VOG2168, VOG7692, VOG2170, VOG2171, VOG2172, VOG1418, VOG1474, VOG2173, VOG1419, VOG4780, VOG0980
NZ_CP043328.1	2003732	2041033	False	Siphoviridae	VOG0980, VOG4780, VOG1419, VOG2173, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG7692, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG2164, VOG6404, VOG2790, VOG6012, VOG2163, VOG5003, VOG6571, VOG0572, VOG4652, VOG1356, VOG5023, VOG4576, VOG6856, VOG9452, VOG4751, VOG5412, VOG2154, VOG2153, VOG6306, VOG6855, VOG6086, VOG7153, VOG6580, VOG7153, VOG2149, VOG4892, VOG2147, VOG7465, VOG5454, VOG2788, VOG2142, VOG6171, VOG2786, VOG2215
NZ_CP043328.1	2137601	2175629	False	Siphoviridae	VOG2215, VOG2786, VOG6171, VOG2142, VOG2788, VOG5454, VOG8348, VOG7465, VOG2147, VOG4892, VOG2149, VOG7153, VOG7153, VOG6086, VOG6306, VOG2152, VOG2153, VOG2154, VOG5412, VOG4751, VOG9452, VOG6856, VOG4576, VOG5023, VOG1356, VOG4652, VOG0572, VOG5003, VOG2163, VOG6012, VOG2790, VOG6404, VOG2164, VOG2165, VOG2166, VOG5492, VOG2167, VOG2168, VOG7692, VOG2170, VOG2171, VOG2172, VOG1418, VOG1474, VOG2173, VOG1419, VOG4780, VOG0980, VOG2174
NZ_CP043328.1	2303244	2322501	False	Siphoviridae	VOG8349, VOG1422, VOG3659, VOG9481, VOG0239, VOG0226, VOG0982, VOG7885, VOG4945, VOG5551, VOG2703, VOG6865, VOG10933, VOG10054, VOG3349, VOG9343, VOG0189, VOG2339, VOG3087, VOG0296, VOG0765, VOG4565, VOG1520
NZ_CP043328.1	2330362	2355123	False	Podoviridae	VOG2101, VOG2105, VOG1593, VOG9487, VOG9488, VOG7695, VOG7696, VOG9489, VOG9490, VOG8859
NZ_CP043328.1	4933184	4984199	True	Myoviridae	VOG3391, VOG3448, VOG6173, VOG6174, VOG3721, VOG0582, VOG0569, VOG4736, VOG4545, VOG8340, VOG0577, VOG0356, VOG2073, VOG10969, VOG0574, VOG4691, VOG4550, VOG0573, VOG0977, VOG0839, VOG1887, VOG7442, VOG0275, VOG0275, VOG0275, VOG1887, VOG3434, VOG4573, VOG0833, VOG1933, VOG0051, VOG0831, VOG0615, VOG0198, VOG4609, VOG0585, VOG2186, VOG6310, VOG2215, VOG8347, VOG5087
NZ_CP043328.1	5643357	5647381	False	Siphoviridae	VOG0025, VOG2039, VOG2485, VOG9481
NZ_CP043328.1	6511541	6544880	False	Myoviridae	VOG4556, VOG3897, VOG0566, VOG0764, VOG0567, VOG0568, VOG0569, VOG2388, VOG2125, VOG4616, VOG4645, VOG0571, VOG0572, VOG0573, VOG4550, VOG4691, VOG0574, VOG9995, VOG2073, VOG0356, VOG0577, VOG4630, VOG4736, VOG0582, VOG3556, VOG2186, VOG0583, VOG8435, VOG0585, VOG9749, VOG8349, VOG9702
