Prophage number	Contig	Start	Stop
pp_1	NZ_CP046406.2	558898	573256
pp_2	NZ_CP046406.2	715584	730365
pp_3	NZ_CP046406.2	1064663	1081870
pp_4	NZ_CP046406.2	1105524	1137460
pp_5	NZ_CP046406.2	1214298	1232473
pp_6	NZ_CP046406.2	1377840	1392185
pp_7	NZ_CP046406.2	2534657	2548872
pp_8	NZ_CP046406.2	3065788	3096388
pp_9	NZ_CP046406.2	3163214	3194443
pp_10	NZ_CP046406.2	4663608	4679500
pp_11	NZ_CP046406.2	5030330	5051042
pp_12	NZ_CP046406.2	5156426	5188368
pp_13	NZ_CP046406.2	5198643	5235645
pp_14	NZ_CP046406.2	5336413	5357653
pp_15	NZ_CP046406.2	5655297	5672164
pp_16	NZ_CP046406.2	5771212	5834139
pp_17	NZ_CP046406.2	6454093	6468446
pp_18	NZ_CP046406.2	6657011	6689912
