scaffold	begin	end	transposable	taxonomy	vog
NZ_CP018254.1	1087643	1090591	False	Myoviridae	VOG2215, VOG0010, VOG3349
NZ_CP018254.1	1247957	1283373	False	Siphoviridae	VOG8400, VOG8391, VOG0322, VOG7510, VOG8392, VOG5709, VOG2215, VOG2338, VOG8393, VOG8394, VOG4567, VOG0107, VOG5375, VOG8427, VOG7528, VOG10923, VOG5607, VOG5620, VOG7407, VOG1518, VOG4564, VOG8397, VOG2483, VOG4611, VOG1329, VOG3480, VOG5830, VOG4704, VOG8395, VOG4568, VOG2119, VOG4127, VOG8343, VOG4228, VOG8399, VOG4603, VOG10170, VOG10170, VOG0267, VOG0267, VOG4675, VOG4860
NZ_CP018254.1	1566413	1591009	False	Myoviridae	VOG2791, VOG6723, VOG2165, VOG2790, VOG6012, VOG2163, VOG0572, VOG4652, VOG1356, VOG4694, VOG4544, VOG4005, VOG4004, VOG4003, VOG4366, VOG0992, VOG3556, VOG3998, VOG1564, VOG3995, VOG3993, VOG0585, VOG7620
NZ_CP018254.1	1685277	1725115	False	Siphoviridae	VOG7108, VOG9627, VOG4755, VOG8400, VOG8391, VOG0322, VOG7510, VOG8392, VOG0195, VOG9625, VOG6495, VOG0831, VOG8393, VOG8394, VOG9565, VOG4566, VOG0189, VOG8427, VOG0296, VOG7528, VOG10923, VOG5607, VOG5620, VOG7407, VOG1518, VOG4564, VOG8397, VOG2483, VOG4611, VOG1329, VOG3480, VOG5830, VOG4704, VOG8395, VOG4568, VOG2119, VOG4127, VOG8343, VOG4228, VOG8399, VOG2545, VOG0376, VOG9584, VOG4860, VOG5277, VOG1539, VOG8390
NZ_CP018254.1	1817394	1838430	False	Myoviridae	VOG2791, VOG6723, VOG2165, VOG2790, VOG6012, VOG2163, VOG0572, VOG4652, VOG1356, VOG4694, VOG4544, VOG4005, VOG4004, VOG4003, VOG4366, VOG0992, VOG2154, VOG2153, VOG0094, VOG2149, VOG0585
NZ_CP018254.1	2372742	2396872	False	Siphoviridae	VOG7388, VOG4565, VOG0765, VOG4598, VOG4701, VOG0850, VOG0848, VOG5260, VOG0847, VOG1849, VOG4860, VOG8415, VOG3427, VOG0704, VOG9583, VOG4589, VOG0204, VOG5259, VOG4553, VOG4568, VOG4556, VOG5779
NZ_CP018254.1	2929244	2966223	False	Siphoviridae	VOG1539, VOG5277, VOG4860, VOG4552, VOG0267, VOG0267, VOG8399, VOG4228, VOG8343, VOG4127, VOG8398, VOG2119, VOG4568, VOG8395, VOG4704, VOG5830, VOG3480, VOG1329, VOG4611, VOG2483, VOG8397, VOG8396, VOG4564, VOG1518, VOG7407, VOG5620, VOG5607, VOG7528, VOG9626, VOG9628, VOG5622, VOG3490, VOG0025, VOG5046, VOG0052, VOG6495, VOG9625, VOG9624, VOG8392, VOG7510, VOG0322
NZ_CP018254.1	3100540	3124297	False	Siphoviridae	VOG4675, VOG0267, VOG0267, VOG10170, VOG10170, VOG4603, VOG8399, VOG4228, VOG8343, VOG4127, VOG2119, VOG4568, VOG8395, VOG4704, VOG5830, VOG3480, VOG1329, VOG4555, VOG4731, VOG8397, VOG8396, VOG4564, VOG1518, VOG6488, VOG5620, VOG5607, VOG10923
NZ_CP018254.1	3129581	3140052	False	Siphoviridae	VOG5375, VOG4566, VOG8394, VOG8408, VOG2215, VOG9625, VOG0195, VOG8392, VOG9564, VOG7510, VOG0322, VOG8391
NZ_CP018254.1	3307103	3344074	False	Siphoviridae	VOG4743, VOG8390, VOG1539, VOG5277, VOG4910, VOG9584, VOG4603, VOG8399, VOG4228, VOG8343, VOG4127, VOG2119, VOG4568, VOG4704, VOG5830, VOG3480, VOG1329, VOG4611, VOG2483, VOG8397, VOG4564, VOG1518, VOG7407, VOG5620, VOG5607, VOG10923, VOG1485, VOG7528, VOG0296, VOG8427, VOG0189, VOG4566, VOG9565, VOG8394, VOG8393, VOG8408, VOG2215, VOG9625, VOG6971, VOG8392, VOG7510
