scaffold	begin	end	transposable	taxonomy	vog
NZ_AP014651.1	489437	527733	False	Siphoviridae	VOG3838, VOG2174, VOG0980, VOG4780, VOG1419, VOG2173, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG6163, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG2164, VOG6404, VOG2790, VOG2790, VOG6012, VOG2163, VOG5003, VOG7913, VOG0572, VOG4652, VOG1356, VOG5023, VOG4576, VOG6856, VOG9452, VOG4751, VOG5412, VOG2154, VOG2153, VOG2152, VOG6306, VOG6086, VOG7153, VOG6580, VOG2149, VOG4892, VOG2147, VOG7465, VOG8348, VOG5454, VOG2788, VOG2142, VOG6171
NZ_AP014651.1	752176	773149	False	Myoviridae	VOG8347, VOG2215, VOG0585, VOG0198, VOG0977, VOG0573, VOG4550, VOG4691, VOG0574, VOG6373, VOG2073, VOG0356, VOG0577, VOG8340, VOG4130, VOG4736, VOG0569, VOG0582, VOG3721, VOG6174, VOG6173
NZ_AP014651.1	969595	1010089	False	Siphoviridae	VOG4694, VOG0980, VOG4780, VOG1419, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG11071, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG6404, VOG2790, VOG6012, VOG2163, VOG0572, VOG10995, VOG1356, VOG4544, VOG4005, VOG6153, VOG4002, VOG4795, VOG10848, VOG4001, VOG3556, VOG3999, VOG10847, VOG3998, VOG10952, VOG3995, VOG3993, VOG4892, VOG8527, VOG5472, VOG5531, VOG8525, VOG3992, VOG4791, VOG6086, VOG6855, VOG2153, VOG7620, VOG2154
NZ_AP014651.1	1606126	1641746	False	Myoviridae	VOG10933, VOG2186, VOG0585, VOG4609, VOG0615, VOG0831, VOG0051, VOG1933, VOG0833, VOG4573, VOG3434, VOG1887, VOG0839, VOG0977, VOG0573, VOG4550, VOG4691, VOG0574, VOG10969, VOG2073, VOG0356, VOG0577, VOG8340, VOG4545, VOG4736, VOG0569, VOG0582, VOG3721, VOG6174, VOG6173, VOG4694, VOG7642, VOG7641
NZ_AP014651.1	2650318	2697287	True	Siphoviridae	VOG1391, VOG0275, VOG8347, VOG7465, VOG4658, VOG0944, VOG5532, VOG5994, VOG0355, VOG4693, VOG7106, VOG2388, VOG2125, VOG0796, VOG4544, VOG1518, VOG4564, VOG4611, VOG1329, VOG3649, VOG1527, VOG4704, VOG11086, VOG2120, VOG2121, VOG4739, VOG0847, VOG0848, VOG0850, VOG6495, VOG0267, VOG4552, VOG4701, VOG4598, VOG5820, VOG5260, VOG4547, VOG6174, VOG6173, VOG3448
NZ_AP014651.1	3107462	3149556	False	Siphoviridae	VOG2174, VOG0980, VOG4780, VOG1419, VOG2173, VOG1474, VOG1418, VOG2172, VOG2171, VOG2170, VOG6163, VOG2168, VOG2167, VOG5492, VOG2166, VOG2165, VOG2164, VOG6404, VOG2790, VOG6012, VOG2163, VOG5003, VOG7913, VOG0572, VOG4652, VOG1356, VOG5023, VOG4576, VOG6856, VOG9452, VOG4751, VOG5412, VOG2154, VOG2153, VOG2152, VOG6306, VOG6086, VOG7153, VOG6580, VOG2149, VOG4892, VOG2147, VOG7465, VOG8348, VOG5454, VOG2788, VOG2142, VOG6171, VOG2786, VOG2215
NZ_AP014651.1	5085385	5116923	False	Siphoviridae	VOG5260, VOG5820, VOG4598, VOG4701, VOG0850, VOG0848, VOG4735, VOG3427, VOG0704, VOG9583, VOG4589, VOG0204, VOG4553, VOG4568, VOG4556, VOG6182, VOG4841, VOG5797, VOG0300, VOG0438, VOG0615, VOG4552, VOG6438, VOG0025, VOG0189, VOG4851, VOG4552
NZ_AP014651.1	5121839	5131121	False	Unknown	VOG1364, VOG4593, VOG0267, VOG9739, VOG5472, VOG0275, VOG3838, VOG3572
NZ_AP014651.1	6083404	6125208	True	Siphoviridae	VOG2154, VOG2153, VOG6855, VOG4791, VOG3992, VOG8525, VOG8526, VOG8527, VOG4892, VOG3993, VOG3995, VOG1564, VOG3998, VOG10847, VOG3999, VOG3995, VOG3556, VOG4001, VOG10848, VOG4795, VOG8528, VOG4002, VOG4003, VOG4004, VOG4005, VOG4544, VOG1356, VOG4652, VOG0572, VOG4807, VOG8529, VOG3178, VOG0438, VOG2165, VOG2166, VOG5492, VOG2167, VOG2168, VOG9868, VOG2170, VOG2171, VOG2172, VOG1418, VOG1474, VOG1419, VOG4780, VOG0980, VOG4694
NZ_AP014651.1	6563635	6598186	False	Myoviridae	VOG4556, VOG3897, VOG0566, VOG0764, VOG0567, VOG0568, VOG0569, VOG2388, VOG2125, VOG4616, VOG4645, VOG0571, VOG0572, VOG0573, VOG4550, VOG4691, VOG0574, VOG9995, VOG2073, VOG0356, VOG0577, VOG4630, VOG4736, VOG0582, VOG3556, VOG2186, VOG0583, VOG8435, VOG0585, VOG9749, VOG8349, VOG9702, VOG10595, VOG9764
